MOVIE_ID,NAME,ALIAS,ACTORS,COVER,DIRECTORS,DOUBAN_SCORE,DOUBAN_VOTES,GENRES,IMDB_ID,LANGUAGES,MINS,OFFICIAL_SITE,REGIONS,RELEASE_DATE,SLUG,STORYLINE,TAGS,YEAR,ACTOR_IDS,DIRECTOR_IDS
1292052,肖申克的救赎 - 电影,月黑高飞(港) / 刺激1995(台) / 地狱诺言 / 铁窗岁月 / 消香克的救赎,蒂姆·罗宾斯/摩根·弗里曼/鲍勃·冈顿/威廉姆·赛德勒/克兰西·布朗/吉尔·贝罗斯/马克·罗斯顿/詹姆斯·惠特摩/杰弗里·德曼/拉里·布兰登伯格/尼尔·吉恩托利/布赖恩·利比/大卫·普罗瓦尔/约瑟夫·劳格诺/祖德·塞克利拉/保罗·麦克兰尼/芮妮·布莱恩/阿方索·弗里曼/V·J·福斯特/弗兰克·梅德拉诺/马克·迈尔斯/尼尔·萨默斯/耐德·巴拉米/布赖恩·戴拉特/唐·麦克马纳斯,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,弗兰克·德拉邦特,9.7,3298591,剧情/犯罪,tt0111161,英语,142.0,,美国,1994-09-10,UvqMmz7Yf,20世纪40年代末，小有成就的青年银行家安迪（蒂姆·罗宾斯 Tim Robbins 饰）因涉嫌杀害妻子及她的情人而锒铛入狱。在这座名为肖申克的监狱内，希望似乎虚无缥缈，终身监禁的惩罚无疑注定了安迪接下来灰暗绝望的人生。未过多久，安迪尝试接近囚犯中颇有声望的瑞德（摩根·弗里曼 Morgan Freeman 饰），请求对方帮自己搞来小锤子。以此为契机，二人逐渐熟稔，安迪也仿佛在鱼龙混杂、罪恶横生、黑白混淆的牢狱中找到属于自己的求生之道。他利用自身的专业知识，帮助监狱管理层逃税、洗黑钱，同时凭借与瑞德的交往在犯人中间也渐渐受到礼遇。表面看来，他已如瑞德那样对那堵高墙从憎恨转变为处之泰然，但是对自由的渴望仍促使他朝着心中的希望和目标前进。而关于其罪行的真相，似乎更使这一切朝前推进了一步……,经典/励志/信念/自由/人性/人生/美国/剧情,1994.0,,
1291546,霸王别姬,再见，我的妾,张国荣/张丰毅/巩俐/葛优/英达/蒋雯丽/吴大维/吕齐/雷汉/尹治/马明威/费振翔/智一桐/李春/赵海龙/李丹/童弟/沈慧芬/黄斐,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1488213971.jpg,陈凯歌,9.6,1167141.0,剧情/爱情/同性,tt0106332,汉语普通话,171.0,,中国大陆 / 中国香港,1993-01-01,YZ3jra6ua,段小楼（张丰毅）与程蝶衣（张国荣）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。,经典/人性/文艺/爱情/人生/同志/剧情/文革,1993.0,张国荣:1003494|张丰毅:1050265|巩俐:1035641|葛优:1000905|英达:1011479|蒋雯丽:1020487|吴大维:1028801|吕齐:1275230|雷汉:1275232|尹治:1275236|马明威:1275234|费振翔:1275235|智一桐:1275239|李春:1275231|赵海龙:1275237|李丹:1275238|童弟:1275233|沈慧芬:1317383|黄斐:1373062,陈凯歌:1023040
1292064,楚门的世界 - 电影,真人Show(港) / 真人戏 / 真人世界 / 楚门秀 / 真人秀,金·凯瑞/劳拉·琳妮/艾德·哈里斯/诺亚·艾默里奇/娜塔莎·麦克艾霍恩,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,彼得·威尔,9.4,2029734,剧情/科幻,tt0120382,英语,103.0,,美国,1998-06-05,7eEZ3bU3b,楚门（金•凯瑞 Jim Carrey 饰）是一个平凡得不能再平凡的人，除了一些有些稀奇的经历之外——初恋女友突然失踪、溺水身亡的父亲忽然似乎又出现在眼前，他和绝大多数30多岁的美国男人绝无异样。这令他倍感失落。他也曾试过离开自己生活了多年的地方，但总因种种理由而不能成行。,人性/经典/楚门的世界/美国/剧情/JimCarrey/人生/自由,1998.0,,
2129039,飞屋环游记,冲天救兵(港) / 天外奇迹(台) / 飞屋历险记,爱德华·阿斯纳/克里斯托弗·普卢默/乔丹·长井/鲍勃·彼德森/戴尔里·林多/杰罗姆·兰福特/约翰·拉岑贝格/大卫·卡耶/艾丽·道克特/杰里米·利里/米凯·麦高万/丹尼·曼恩/唐纳德·富利洛夫/杰斯·哈梅尔/乔什·库雷/彼特·道格特,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg,彼特·道格特/鲍勃·彼德森,9.0,789525.0,剧情/喜剧/动画/冒险,tt1049413,英语,96.0,,美国,2009-08-04,UnNeyNeUf,小男孩卡尔（Carl Fredricksen）怀揣着对于冒险的热爱偶遇假小子艾丽（Ellie），而艾丽把整个屋子当成一艘大飞船游戏居然使他对这个女孩子有些着迷，相同的爱好最终使两个人成为了一生的爱侣。,动画/梦想/美国/冒险/爱情/pixar/温情/Disney,2009.0,爱德华·阿斯纳:1054334|克里斯托弗·普卢默:1036321|乔丹·长井:1004683|鲍勃·彼德森:1294383|戴尔里·林多:1040621|杰罗姆·兰福特:1381870|约翰·拉岑贝格:1002680|大卫·卡耶:1113688|艾丽·道克特:1381871|杰里米·利里:1381875|米凯·麦高万:1348616|丹尼·曼恩:1348619|唐纳德·富利洛夫:1353055|杰斯·哈梅尔:1016698|乔什·库雷:1348615|彼特·道格特:1022803,彼特·道格特:1022803|鲍勃·彼德森:1294383
2131459,机器人总动员 - 电影,瓦力(台) / 太空奇兵·威E(港) / 星际总动员 / 地球废品分装员 / 机器人瓦力,本·贝尔特/艾丽莎·奈特/杰夫·格尔林/佛莱德·威拉特/西格妮·韦弗/约翰·拉岑贝格/凯茜·纳基麦/泰迪·牛顿/鲍伯·伯根/洛丽·理查德森/吉姆·瓦德/彼特·道格特/安德鲁·斯坦顿/杰夫·皮金/约翰·齐甘/米凯·麦高万/雪莉·琳恩/克莱特·惠特克/唐纳德·富利洛夫/罗里·艾伦/杰斯·哈梅尔/拉瑞恩·纽曼/扬·拉布森/保罗·伊丁,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,安德鲁·斯坦顿,9.3,1500574,爱情/科幻/动画/冒险,tt0910970,英语,98.0,http://www.pixar.com/feature-films/walle,美国,2008-06-27,uqijNeaMe,公元2805年，人类文明高度发展，却因污染和生活垃圾大量增加使得地球不再适于人类居住。地球人被迫乘坐飞船离开故乡，进行一次漫长无边的宇宙之旅。临行前他们委托Buynlarge的公司对地球垃圾进行清理，该公司开发了名为WALL·E（Waste Allocation Loa d Lifters – Earth 地球废品分装员）的机器人担当此重任。,动画/科幻/美国/感人/皮克斯/爱情/环保/迪斯尼,2008.0,,
4739952,初恋这件小事,初恋那件小事(港) / 暗恋那点小事 / 叫做爱的小事,平采娜·乐维瑟派布恩/马里奥·毛瑞尔/苏达拉·布查蓬/雅尼卡·桑普蕾舞/诺特·阿查拉那·阿瑞亚卫考/皮拉瓦特·赫拉巴特/普特鹏·普罗萨卡·那·萨克那卡林/华森·波克彭,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.jpg,普特鹏·普罗萨卡·那·萨克那卡林/华森·波克彭,8.3,643975.0,剧情/喜剧/爱情,tt1859438,泰语 / 印度尼西亚语 / 英语,118.0,,泰国,2012-06-05,UZJvERQAe,初中生小水相貌平平，家境一般，所以在学校里并不受重视。但是她心地善良，又有一群死党，日子过得倒也开心。某天，她遇见了帅气的学长阿亮（马里奥·毛瑞尔 Mario Maurer 饰），春心萌动，无 法遏制。她喜欢看他踢足球，看他拍照，如痴如狂。上英语课时，她不停地给死党传纸条 表达对阿亮的爱慕。然而，英语老师则指出她除了英语一无是处。回到家，叔叔从美国捎来了父亲的消息，说如果她能考全校第一，就可以去美国。于是，她按下决心要努力加油。某天，小水等人在买饮料时，碰到篮球队员蛮横插队。阿亮挺身而出，为她们教训了对方，并挨了校长的责骂。小水也第一次听说，阿亮的父亲因为射失点球而退役的事情，理解了他心中的隐痛。由于舞蹈队是给美女准备的，所以小水等一干姐妹准备在话剧社大展身手，没想到学长也来到这个社团。两人还扮演王子公主，他们的恋情会由此展开么？……,青春/爱情/泰国/初恋/校园/成长/少年/2010,2010.0,平采娜·乐维瑟派布恩:1275794|马里奥·毛瑞尔:1041011|苏达拉·布查蓬:1313263|雅尼卡·桑普蕾舞:1326399|诺特·阿查拉那·阿瑞亚卫考:1320220|皮拉瓦特·赫拉巴特:1329024|普特鹏·普罗萨卡·那·萨克那卡林:1313103|华森·波克彭:1313104,普特鹏·普罗萨卡·那·萨克那卡林:1313103|华森·波克彭:1313104
1295124,辛德勒的名单,舒特拉的名单(港) / 辛德勒名单,连姆·尼森/本·金斯利/拉尔夫·费因斯/卡罗琳·古多尔/乔纳森·萨加尔/艾伯丝·戴维兹/马尔戈萨·格贝尔/马克·伊瓦涅/碧翠斯·马科拉/安德烈·瑟韦林/弗里德里希·冯·图恩/克齐斯茨托夫·拉夫特/诺伯特·魏塞尔,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,史蒂文·斯皮尔伯格,9.5,637119.0,剧情/历史/战争,tt0108052,英语 / 希伯来语 / 德语 / 波兰语,195.0,,美国,1993-11-30,JBYfMY3Ne,1939年，波兰在纳粹德国的统治下，党卫军对犹太人进行了隔离统治。德国商人奥斯卡·辛德勒（连姆·尼森 Liam Neeson 饰）来到德军统治下的克拉科夫，开设了一间搪瓷厂，生产军需用品。凭着出众的社交能力和大量的金钱，辛德勒和德军建立了良好的关系，他的工厂雇用犹太人工作，大发战争财。,人性/二战/经典/斯皮尔伯格/战争/辛德勒的名单/美国/剧情,1993.0,连姆·尼森:1031220|本·金斯利:1054393|拉尔夫·费因斯:1006956|卡罗琳·古多尔:1041165|乔纳森·萨加尔:1340765|艾伯丝·戴维兹:1022626|马尔戈萨·格贝尔:1091349|马克·伊瓦涅:1105743|碧翠斯·马科拉:1124528|安德烈·瑟韦林:1048415|弗里德里希·冯·图恩:1168322|克齐斯茨托夫·拉夫特:1116758|诺伯特·魏塞尔:1013732,史蒂文·斯皮尔伯格:1054440
1309046,V字仇杀队 - 电影,V煞(港) / V怪客(台) / 复仇者V / V字仇杀令 / V字别动队,娜塔莉·波特曼/雨果·维文/斯蒂芬·瑞/斯蒂芬·弗雷/约翰·赫特/蒂姆·皮戈特-史密斯/鲁珀特·格雷夫斯/罗杰·阿拉姆/本·迈尔斯/西妮德·库萨克/娜塔莎·怀特曼/约翰·斯坦丁/埃迪·马森/克里夫·阿什伯恩/伊安·布尔费尔德/比莉·库克/盖伊·亨利/科斯马·肖/安迪·莱什利兹/查德·斯塔赫斯基/布拉德利·斯蒂夫·福特/塞丽娜·贾尔斯/卡斯腾·海斯/伊莫琴·普茨/劳拉·格林伍德/玛丽·萧克莱 /理查德·莱恩,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,詹姆斯·麦克特格,,632251.0,剧情/动作/科幻/惊悚,tt0434409,英语,132.0,,美国 / 英国 / 德国,2005-12-11,m7AYZJZZf,未来的英国社会处于极权统治的高压下，不能容许同性恋者、异教徒等社会角色的存在，人民在黑暗政权下苟延残喘。,政治/美国/剧情/科幻/动作/暴力/自由/NataliePortman,2005.0,,
1292223,七宗罪 - 电影,火线追缉令(台) / 7宗罪,摩根·弗里曼/布拉德·皮特/凯文·史派西/格温妮斯·帕特洛/安德鲁·凯文·沃克/约翰·卡西尼/雷格·E·凯蒂/李·厄米,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg,大卫·芬奇,8.8,1069847,剧情/悬疑/惊悚/犯罪,tt0114369,英语 / 葡萄牙语,127.0,,美国,1995-09-22,JRI3jNeyb,“暴食”、“贪婪”、“懒惰”、“嫉妒”、“骄傲”、“淫欲”、“愤怒”，这是天主教教义所指的人性七宗罪。城市中发生的连坏杀人案，死者恰好都是犯有这些教义的人。凶手故弄玄虚的作案手法，令资深冷静的警员沙摩塞（摩根•弗里曼 Morgan Freeman 饰）和血气方刚的新扎警员米尔斯（布拉德•皮特 Brad Pitt 饰）都陷入了破案的谜团中。他们去图书馆研读但丁的《神曲》，企图从人间地狱的描绘中找到线索，最后从宗教文学哲学的世界中找到了凶手作案计划和手段的蛛丝马迹。凶手前来投案自首，这令众人都松了一口气，以为案件就此结束，怎料还是逃不出七宗罪的杀人逻辑，这次凶手瞄准的目标，是那个犯了“愤怒”罪的人……,悬疑/犯罪/七宗罪/大卫·芬奇/美国/宗教/惊悚/经典,1995.0,,
1293839,罗马假日,金枝玉叶(港) / 罗马假期(台),奥黛丽·赫本/格利高里·派克/埃迪·艾伯特/哈特利·鲍尔/哈考特·威廉姆斯/托里奥·卡米纳提/保拉·布鲁布尼/里佐·弗雷多里佐,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,威廉·惠勒,9.0,586672.0,剧情/喜剧/爱情,tt0046250,英语 / 意大利语 / 德语,118.0,,美国,1953-08-20,FJn7mzzVf,欧洲某国的安妮公主（奥黛丽·赫本 Audrey Hepburn 饰）到访罗马，国务烦身，但她又厌倦繁文缛节。一天晚上，身心俱疲的她偷偷来到民间欣赏夜景，巧遇报社记者乔（格里高利·派克 Gregory Peck 饰）。二人把手同游，相当快乐。公主更是到乔的家中作客并在那过夜。,奥黛丽·赫本/经典/爱情/浪漫/罗马假日/美国/美国电影/赫本,1953.0,奥黛丽·赫本:1054449|格利高里·派克:1031218|埃迪·艾伯特:1048218|哈特利·鲍尔:1136113|哈考特·威廉姆斯:1167913|Margaret Rawlings:1137578|托里奥·卡米纳提:1051108|Paolo Carlini:1069855|Claudio Ermelli:1079868|保拉·布鲁布尼:1066911|里佐·弗雷多里佐:1325990,威廉·惠勒:1010691
